File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,96.211792%,76828,664,626,38,0,76828
usart0.o,1.287366%,1028,564,564,0,0,1028
startup_gd32f407_427.o,1.282356%,1024,428,36,392,0,1024
tasks.o,1.001841%,800,3191,3148,43,0,800
queue.o,0.080147%,64,1932,1912,20,0,64
timers.o,0.075138%,60,1209,1188,21,0,60
main.o,0.030055%,24,732,732,0,0,24
port.o,0.011271%,9,1033,988,41,4,5
mc_w.l,0.005009%,4,726,722,0,4,0
stdout.o,0.005009%,4,4,0,0,4,0
system_gd32f4xx.o,0.005009%,4,534,530,0,4,0
bsp_keys.o,0.005009%,4,236,232,0,4,0
